FILENAME;PID;FILEEXTENSION;MIMETYPE;LABEL;NOTE
002894793119_A1_En_el_Generalife_Allegretto_tranquillo_e_misterioso.mp3;14861404;mp3;audio/mpeg;A1: En el Generalife Allegretto tranquillo e misterioso;002894793119 A1 En el Generalife Allegretto tranquillo e misterioso.mp3
002894793119_A2_Danza_lejana_Allegretto_giusto.mp3;14861405;mp3;audio/mpeg;A2: Danza lejana Allegretto giusto;002894793119 A2 Danza lejana Allegretto giusto.mp3
002894793119_A3_En_los_jardines_de_la_Sierra_de_C_rdoba_Vivo.mp3;14861406;mp3;audio/mpeg;A3: En los jardines de la Sierra de Córdoba Vivo;002894793119 A3 En los jardines de la Sierra de Córdoba Vivo.mp3
002894793122_A10_Adagio_cantabile.mp3;14861443;mp3;audio/mpeg;A10: Adagio cantabile;002894793122 A10 Adagio cantabile.mp3
002894793122_A11_Menuetto_Allegro.mp3;14861444;mp3;audio/mpeg;A11: Menuetto Allegro;002894793122 A11 Menuetto Allegro.mp3
002894793122_A12_Finale_Presto.mp3;14861445;mp3;audio/mpeg;A12: Finale Presto;002894793122 A12 Finale Presto.mp3
002894793122_A1_Allegro_con_brio.mp3;14861433;mp3;audio/mpeg;A1: Allegro con brio;002894793122 A1 Allegro con brio.mp3
002894793122_A2_Menuetto__Allegretto____Canone_in_diapason.mp3;14861434;mp3;audio/mpeg;A2: Menuetto (Allegretto) - Canone in diapason;002894793122 A2 Menuetto (Allegretto) - Canone in diapason.mp3
002894793122_A3_Adagio.mp3;14861435;mp3;audio/mpeg;A3: Adagio;002894793122 A3 Adagio.mp3
002894793122_A4_Finale_Presto.mp3;14861436;mp3;audio/mpeg;A4: Finale Presto;002894793122 A4 Finale Presto.mp3
002894793122_A5_Allegro_moderato.mp3;14861437;mp3;audio/mpeg;A5: Allegro moderato;002894793122 A5 Allegro moderato.mp3
002894793122_A6_Andante_cantabile.mp3;14861438;mp3;audio/mpeg;A6: Andante cantabile;002894793122 A6 Andante cantabile.mp3
002894793122_A7_Menuetto.mp3;14861439;mp3;audio/mpeg;A7: Menuetto;002894793122 A7 Menuetto.mp3
002894793122_A8_Finale_Vivace.mp3;14861440;mp3;audio/mpeg;A8: Finale Vivace;002894793122 A8 Finale Vivace.mp3
002894793122_A9a_Adagio.mp3;14861441;mp3;audio/mpeg;A9a: Adagio;002894793122 A9a Adagio.mp3
002894793122_A9b_Allegro.mp3;14861442;mp3;audio/mpeg;A9b: Allegro;002894793122 A9b Allegro.mp3
002894793123_A10_Andante.mp3;14861482;mp3;audio/mpeg;A10: Andante;002894793123 A10 Andante.mp3
002894793123_A11_Menuet__Allegretto_.mp3;14861483;mp3;audio/mpeg;A11: Menuet (Allegretto);002894793123 A11 Menuet (Allegretto).mp3
002894793123_A12_Finale__Vivace_.mp3;14861484;mp3;audio/mpeg;A12: Finale (Vivace);002894793123 A12 Finale (Vivace).mp3
002894793123_A9a_Adagio.mp3;14861480;mp3;audio/mpeg;A9a: Adagio;Haydn, J.: Sinfonie Nr. 101 / A9a: Adagio
002894793123_A9b_Presto.mp3;14861481;mp3;audio/mpeg;A9b: Presto;002894793123 A9b Presto.mp3
002894793126_A1_Allegro_molto_appassionato.mp3;14861511;mp3;audio/mpeg;A1: Allegro molto appassionato;002894793126 A1 Allegro molto appassionato.mp3
002894793126_A2_Andante.mp3;14861512;mp3;audio/mpeg;A2: Andante;002894793126 A2 Andante.mp3
002894793126_A3_Allegro_non_troppo___Allegro_molto_vivace.mp3;14861513;mp3;audio/mpeg;A3: Allegro non troppo - Allegro molto vivace;002894793126 A3 Allegro non troppo - Allegro molto vivace.mp3
002894793126_A4_Hungarian_Rhapsody_1.mp3;14861514;mp3;audio/mpeg;A4: Hungarian Rhapsody 1;002894793126 A4 Hungarian Rhapsody 1.mp3
002894793126_A5_Hungarian_Rhapsody_4.mp3;14861515;mp3;audio/mpeg;A5: Hungarian Rhapsody 4;002894793126 A5 Hungarian Rhapsody 4.mp3
002894793126_A6_Zigeunerweisen.mp3;14861516;mp3;audio/mpeg;A6: Zigeunerweisen;002894793126 A6 Zigeunerweisen.mp3
002894793126_A7_Hejre_Kati.mp3;14861517;mp3;audio/mpeg;A7: Hejre Kati;002894793126 A7 Hejre Kati.mp3
002894793127_A10_Adagio_und_Fuge_in_c_Moll.mp3;14861556;mp3;audio/mpeg;A10: Adagio und Fuge in c-Moll;002894793127 A10 Adagio und Fuge in c-Moll.mp3
002894793127_A1_Allegro_moderato.mp3;14861546;mp3;audio/mpeg;A1: Allegro moderato;002894793127 A1 Allegro moderato.mp3
002894793127_A2_Andante.mp3;14861547;mp3;audio/mpeg;A2: Andante;002894793127 A2 Andante.mp3
002894793127_A3_Menuetto.mp3;14861548;mp3;audio/mpeg;A3: Menuetto;002894793127 A3 Menuetto.mp3
002894793127_A4_Allegro_con_spirito.mp3;14861549;mp3;audio/mpeg;A4: Allegro con spirito;002894793127 A4 Allegro con spirito.mp3
